Source_Borough,Drop_Borough,Date,Hour,Trip_Distance,Duration,Count_of_rides,tip_amount,total_amount
Unknown,Queens,1/2/18,18,0.005,0.408333333,2,0,4.3
Manhattan,EWR,1/16/18,3,17.83,27.92666667,5,12.48,92.456
Bronx,Manhattan,1/19/18,16,4.22,27.14166667,2,0.75,21.55
Unknown,Brooklyn,1/20/18,9,1.8,8.483333333,1,0,8.8
Unknown,Brooklyn,1/1/18,23,10.35,21.175,2,5.525,37.325
Unknown,Bronx,1/3/18,21,20.1,31.76666667,1,0,60.06
Manhattan,Staten Island,1/7/18,23,17.14,32.58333333,1,0,60.82
Brooklyn,Queens,1/22/18,14,11.6825,26.32083333,4,6.7525,46.7425
Bronx,Bronx,1/2/18,23,1.393333333,6.15,4,0,8.133333333
Bronx,Brooklyn,1/27/18,4,12.6,26.66666667,1,0,38.3
Bronx,Manhattan,1/3/18,22,2.375,10.275,2,0,11.05
Queens,EWR,1/12/18,19,23.7,100.3,1,29.05,145.35
Unknown,Staten Island,1/1/18,1,0,0.05,1,22,67.8
Brooklyn,Unknown,1/10/18,2,44.37,54.01666667,1,0,213.3
Unknown,Unknown,1/16/18,9,2.378368644,9.123557304,243,5.604116223,54.03090496
Unknown,Queens,1/13/18,23,4.5,20.05,1,0,18.8
Bronx,Queens,1/31/18,22,15.01,29.98333333,1,0,44.3
Bronx,Brooklyn,1/24/18,7,17.9,75.98333333,1,0,62.8
Unknown,Brooklyn,1/8/18,23,7,13.13333333,1,4,26.3
Queens,Staten Island,1/2/18,15,25.7,52.41666667,1,0,69.8
Manhattan,Staten Island,1/10/18,10,24.63,47.81666667,1,0,86.58
Manhattan,EWR,1/26/18,23,16.53,26.23333333,1,16.26,97.56
Bronx,Queens,1/31/18,15,11.8,23.65,1,0.03,39.59
Brooklyn,Bronx,1/20/18,4,8.52,17.08333333,1,0,26.3
Brooklyn,Unknown,1/13/18,4,25.94,48.23333333,1,0,120.8
Unknown,Unknown,1/17/18,6,1.153782609,5.058985507,117,14.84043478,91.37204348
Queens,Brooklyn,1/1/18,7,13.11071545,30.41402439,57,4.3435,42.42195528
Manhattan,Manhattan,1/2/18,18,2.794329389,15.7521247,15034,1.647521842,15.73726762
Manhattan,Queens,1/3/18,22,8.379686736,37.70733876,451,3.147313218,33.1400577
Manhattan,Queens,1/5/18,12,12.28295406,58.06475534,339,4.426263332,46.38046047
Queens,Bronx,1/6/18,23,14.95590909,27.47954545,22,2.257272727,51.10181818
Queens,Manhattan,1/12/18,17,13.27438266,57.84002555,644,7.895989506,58.92483615
Manhattan,Brooklyn,1/12/18,22,6.893077652,31.47490793,925,4.002278443,30.34922474
Unknown,Bronx,1/14/18,9,12.65,28.10833333,2,3.875,44.305
Manhattan,Brooklyn,1/22/18,13,6.859822304,36.98394608,154,3.364920343,29.72173407
Manhattan,Unknown,1/24/18,12,4.266666667,12.92901235,24,1.861759259,29.75759259
Manhattan,Manhattan,1/25/18,17,2.766132437,19.33498774,16292,2.061478127,17.55141737
Manhattan,Queens,1/27/18,0,7.585752351,24.6808224,569,3.287935547,30.51841629
Queens,Queens,1/27/18,12,4.511120921,13.78587517,155,1.20423335,18.95823699
Manhattan,Queens,1/28/18,1,7.61697935,27.19373697,553,2.528179226,30.17011666
Manhattan,Manhattan,1/28/18,14,2.73435932,16.17207694,12593,1.726178704,15.16324131
Manhattan,EWR,1/30/18,16,17.87953333,39.07646296,26,8.6343,92.54741111
